Test Case ID,Execution Outcome,Feature_1,Feature_2,Feature_3,Feature_4,Execution Time (sec),Complexity Index
1,0,38.07947176588889,12.239488667159538,21.78687845310184,11.287466986496147,24.440346159412535,0.4128897307398349
2,1,95.1207163345817,49.882895138900885,45.411364869642064,17.65941876009356,38.63436130859746,0.5095856174019102
3,1,73.46740023932911,39.664424852651365,6.448676633001416,6.713096684163128,21.17914858678771,0.111861464982995
4,0,60.26718993550662,22.99008078748963,25.138630110252098,5.945330845828849,12.111617278374343,-0.8458432043917343
5,1,16.445845403801215,26.880667813348172,1.5563285936035345,3.6861090770806655,13.30760356963102,0.7016254924468884
6,1,16.443457513284063,12.960057965759907,23.964371457712186,-3.025981265093709,13.421855867083014,0.8601739566534545
7,1,6.750277604651747,-8.537896169700613,3.75886050841003,2.0695188867480234,-1.9977444300550307,1.4663869923701731
8,1,86.75143843171858,49.94125530219759,6.822077897135524,24.529459793009927,31.25141889328037,0.7627257478574752
9,1,60.510386162577674,20.508376379015623,6.7587860920781395,-0.8403249553910195,8.438033373127013,-0.6775105638706304
10,1,71.09918520180851,43.420438638328775,32.811304803687115,15.840977774951487,16.540876478569665,1.013011521393723
11,0,3.0378649352844422,13.104888257716262,37.55619908400574,0.6782536317057435,3.81938079382072,0.6520626945882155
12,1,97.02107536403744,40.30371449850162,29.585069489760823,9.655487430727005,40.256849331144295,-0.8809304862373665
13,1,83.41182143924175,51.33967201206409,48.14645487525255,12.43993198242488,27.9512982005118,0.6129198420259224
14,1,22.02157195714934,15.138595247939653,19.3686583966615,0.22162472598281635,31.636585409604265,1.237257838602118
15,1,19.00067175350296,17.720937476696378,14.999892227811175,5.558889382733049,-9.519213614231042,1.0690797369680232
16,0,19.15704647548995,28.54645306428445,43.561357281283556,4.409185337230146,42.576651618640156,1.0636214936770112
17,1,31.119982052994235,13.106109866468412,11.95619608745318,5.284117088839718,14.312269126351621,0.1329606693826198
18,0,52.950886731591545,18.93808172222088,48.19790443258995,5.430233969420579,33.721998443909364,-1.0428290233053132
19,1,43.76255684556946,12.9861341265295,1.5955692598010007,2.701100003626801,4.101105130924896,-0.5505106400127792
20,1,29.83168487960615,6.757739590148692,48.52406250867431,-2.5104964331633823,34.219729373779096,1.7267120150836137
21,1,61.573436577515565,30.015701194616742,3.1148356855782295,6.120853705543359,13.495758134043745,-1.1633703893998806
22,0,14.809892204552142,10.81646585044251,44.666012571205485,7.021895884261532,36.32800354667839,1.605356321723634
23,0,29.922320204986598,17.72806809579349,26.857354345228693,7.82300636685995,20.555417700232063,0.25211483438749516
24,0,37.269822486075476,26.906743733397974,49.65527500984572,3.184246896026636,33.78461961675673,-1.3592668914146928
25,1,46.150928437486556,23.205483137522346,4.616031672034544,7.458306468402832,7.9020794013760245,-1.8999445416463698
26,1,78.73242017790835,53.901550860527344,28.13885993566472,19.92740087501715,29.246457766203356,1.723913962237457
27,1,20.767704433677615,7.737283884459247,48.49582424533585,-6.025841240269084,31.47947069832404,2.1268288726113176
28,1,51.909209402947546,53.15629636736996,26.631794364337292,18.663689872110663,6.5960551361919,-0.8336153938608514
29,1,59.64904231734221,36.081194636321165,31.840533268627865,7.5112395961671155,14.368220876725243,-1.1395854631737659
